#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   sw   |       2500000  |    -5.70  @ 107.84 |107.78  @     -5.70 |     0.36 s |     0.00 s
  1gkc |  -12.18 kcal/mol |   sw   |       2500000  |!  -11.64  @ 132.53 |132.43  @    -10.04 |     1.02 s |     0.00 s
  1hnn |   -9.31 kcal/mol |   sw   |       2500000  |    -9.24  @  55.98 | 55.48  @     -9.17 |     0.72 s |     0.00 s
  1hwi |  -14.68 kcal/mol |   sw   |       2500000  |!  -13.82  @  39.94 | 34.48  @    -12.67 |     1.41 s |     0.00 s
  1ig3 |   -9.63 kcal/mol |   sw   |       2500000  |    -9.56  @  54.99 | 54.98  @     -9.46 |     0.93 s |     0.00 s
  1jje |  -13.01 kcal/mol |   sw   |       2500000  |   -12.81  @  65.36 | 64.61  @    -12.32 |     1.01 s |     0.00 s
  1jla |  -14.92 kcal/mol |   sw   |       2500000  |   -14.85  @  38.20 | 37.96  @    -12.62 |     1.24 s |     0.00 s
  1jyq |  -31.11 kcal/mol |   sw   |       2500000  |!  -21.26  @  60.76 | 54.33  @    -17.50 |     3.67 s |     0.00 s
  1k3u |  -15.07 kcal/mol |   sw   |       2500000  |!  -12.00  @  49.79 | 37.79  @     -9.63 |     1.00 s |     0.00 s
  1kzk |  -20.41 kcal/mol |   sw   |       2500000  |!  -19.52  @  22.17 | 21.60  @    -15.05 |     2.12 s |     0.00 s
  1l7f |  -12.66 kcal/mol |   sw   |       2500000  |   -12.62  @  65.48 | 64.80  @    -10.64 |     1.12 s |     0.00 s
  1lpz |  -15.24 kcal/mol |   sw   |       2500000  |   -15.04  @  32.35 | 23.54  @    -12.21 |     1.44 s |     0.00 s
  1lrh |   -7.53 kcal/mol |   sw   |       2500000  |>   -7.57  @  87.87 | 87.83  @     -7.55 |     0.62 s |     0.00 s
  1m2z |  -15.49 kcal/mol |   sw   |       2500000  |>  -15.50  @  36.76 | 36.45  @    -15.48 |     1.01 s |     0.00 s
  1mzc |  -15.37 kcal/mol |   sw   |       2500000  |   -15.30  @ 125.11 |125.11  @    -15.30 |     1.60 s |     0.00 s
  1n46 |  -15.07 kcal/mol |   sw   |       2500000  |   -14.97  @  15.03 | 14.19  @    -10.68 |     1.07 s |     0.00 s
  1nav |  -13.05 kcal/mol |   sw   |       2500000  |!  -12.63  @  46.19 | 41.04  @    -11.51 |     1.01 s |     0.00 s
  1of6 |  -10.75 kcal/mol |   sw   |       2500000  |   -10.68  @  61.34 | 61.11  @    -10.32 |     0.78 s |     0.00 s
  1opk |  -14.82 kcal/mol |   sw   |       2500000  |   -14.81  @  57.22 | 56.90  @    -14.46 |     1.22 s |     0.00 s
  1owe |  -11.20 kcal/mol |   sw   |       2500000  |   -11.18  @  42.41 | 42.39  @    -11.05 |     0.92 s |     0.00 s
  1p2y |   -7.19 kcal/mol |   sw   |       2500000  |    -7.18  @  42.90 | 42.85  @     -7.18 |     0.56 s |     0.00 s
