#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   sw   |       2500000  |    -5.70  @ 107.84 |107.77  @     -5.69 |     2.07 s |     0.00 s
  1gkc |  -12.18 kcal/mol |   sw   |       2500000  |!  -11.65  @ 133.14 |132.32  @    -10.39 |     8.33 s |     0.00 s
  1hnn |   -9.31 kcal/mol |   sw   |       2500000  |    -9.31  @  56.77 | 41.28  @     -8.80 |     4.84 s |     0.00 s
  1hwi |  -14.68 kcal/mol |   sw   |       2500000  |   -14.47  @  39.81 | 34.57  @    -12.59 |    11.41 s |     0.00 s
  1ig3 |   -9.63 kcal/mol |   sw   |       2500000  |    -9.61  @  55.02 | 54.53  @     -9.48 |     6.75 s |     0.00 s
  1jje |  -13.01 kcal/mol |   sw   |       2500000  |   -12.84  @  65.54 | 64.01  @    -11.74 |     8.15 s |     0.00 s
  1jla |  -14.92 kcal/mol |   sw   |       2500000  |   -14.90  @  38.23 | 37.75  @    -12.94 |    10.26 s |     0.00 s
  1jyq |  -31.11 kcal/mol |   sw   |       2500000  |!  -22.84  @  59.46 | 48.69  @    -18.04 |    34.42 s |     0.00 s
  1k3u |  -15.07 kcal/mol |   sw   |       2500000  |!  -14.54  @  49.81 | 37.30  @     -9.18 |     7.82 s |     0.00 s
  1kzk |  -20.41 kcal/mol |   sw   |       2500000  |   -20.22  @  22.10 | 21.08  @    -13.09 |    18.86 s |     0.00 s
  1l7f |  -12.66 kcal/mol |   sw   |       2500000  |   -12.64  @  65.48 | 64.25  @    -10.22 |     8.86 s |     0.00 s
  1lpz |  -15.24 kcal/mol |   sw   |       2500000  |!  -14.89  @  32.07 | 23.33  @    -11.46 |    11.97 s |     0.00 s
  1lrh |   -7.53 kcal/mol |   sw   |       2500000  |>   -7.58  @  87.88 | 87.86  @     -7.56 |     3.89 s |     0.00 s
  1m2z |  -15.49 kcal/mol |   sw   |       2500000  |   -15.49  @  36.76 | 36.27  @    -15.00 |     7.22 s |     0.00 s
  1mzc |  -15.37 kcal/mol |   sw   |       2500000  |   -15.32  @ 125.08 |125.04  @    -14.97 |    13.40 s |     0.00 s
