#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   sw   |       2500000  |    -5.70  @   1.84 |  1.84  @     -5.70 |     1.25 s |     0.63 s
  1gkc |  -12.18 kcal/mol |   sw   |       2500000  |!  -11.65  @   2.06 |  1.03  @    -10.39 |     3.40 s |     0.97 s
  1hnn |   -9.31 kcal/mol |   sw   |       2500000  |    -9.31  @   1.32 |  1.04  @     -9.00 |     2.52 s |     1.37 s
  1hwi |  -14.68 kcal/mol |   sw   |       2500000  |!  -14.09  @  10.76 |  0.65  @    -13.56 |     4.85 s |     1.29 s
  1ig3 |   -9.63 kcal/mol |   sw   |       2500000  |    -9.61  @   1.48 |  0.90  @     -9.55 |     3.20 s |     1.29 s
  1jje |  -13.01 kcal/mol |   sw   |       2500000  |   -12.93  @   2.05 |  0.47  @    -12.23 |     3.48 s |     0.89 s
  1jla |  -14.92 kcal/mol |   sw   |       2500000  |   -14.88  @   2.47 |  0.46  @    -14.67 |     4.05 s |     1.12 s
  1jyq |  -31.11 kcal/mol |   sw   |       2500000  |!  -23.52  @   3.07 |  3.07  @    -23.52 |    10.06 s |     1.11 s
  1k3u |  -15.07 kcal/mol |   sw   |       2500000  |!  -13.61  @   1.21 |  0.65  @    -13.46 |     3.27 s |     1.15 s
  1kzk |  -20.41 kcal/mol |   sw   |       2500000  |   -20.12  @   0.82 |  0.68  @    -20.11 |     6.66 s |     1.23 s
  1l7f |  -12.66 kcal/mol |   sw   |       2500000  |   -12.64  @   0.59 |  0.38  @    -12.51 |     4.06 s |     1.01 s
  1lpz |  -15.24 kcal/mol |   sw   |       2500000  |   -15.12  @   0.37 |  0.37  @    -15.12 |     5.03 s |     1.17 s
  1lrh |   -7.53 kcal/mol |   sw   |       2500000  |>   -7.58  @  14.68 |  1.73  @     -7.34 |     2.11 s |     0.91 s
  1m2z |  -15.49 kcal/mol |   sw   |       2500000  |   -15.49  @   0.87 |  0.60  @    -15.02 |     3.67 s |     1.03 s
  1mzc |  -15.37 kcal/mol |   sw   |       2500000  |   -15.36  @   1.20 |  0.94  @    -14.83 |     5.21 s |     1.28 s
  1n46 |  -15.07 kcal/mol |   sw   |       2500000  |   -15.06  @   0.65 |  0.23  @    -14.79 |     3.80 s |     1.25 s
  1nav |  -13.05 kcal/mol |   sw   |       2500000  |   -13.01  @   0.63 |  0.42  @    -12.69 |     3.42 s |     1.13 s
