#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   ad   |       2500000  |    -5.70  @   1.84 |  1.84  @     -5.70 |     0.50 s |     0.66 s
  1gkc |  -12.18 kcal/mol |   ad   |       2500000  |!  -11.66  @   1.87 |  1.86  @    -11.64 |     2.44 s |     0.92 s
  1hnn |   -9.31 kcal/mol |   ad   |       2500000  |    -9.30  @   1.30 |  1.30  @     -9.30 |     1.12 s |     1.38 s
  1hwi |  -14.68 kcal/mol |   ad   |       2500000  |   -14.56  @   0.87 |  0.79  @    -14.10 |     3.87 s |     1.24 s
  1ig3 |   -9.63 kcal/mol |   ad   |       2500000  |    -9.62  @   1.44 |  0.93  @     -9.60 |     1.49 s |     1.29 s
  1jje |  -13.01 kcal/mol |   ad   |       2500000  |   -12.96  @   2.01 |  0.99  @    -12.36 |     2.48 s |     0.90 s
  1jla |  -14.92 kcal/mol |   ad   |       2500000  |   -14.90  @   0.66 |  0.66  @    -14.90 |     2.97 s |     1.12 s
  1jyq |  -31.11 kcal/mol |   ad   |       2500000  |!  -27.25  @   4.06 |  2.84  @    -25.74 |    11.69 s |     1.13 s
  1k3u |  -15.07 kcal/mol |   ad   |       2500000  |   -15.01  @   0.26 |  0.16  @    -14.93 |     2.20 s |     1.11 s
  1kzk |  -20.41 kcal/mol |   ad   |       2500000  |   -20.27  @   0.79 |  0.79  @    -16.49 |     7.47 s |     1.28 s
  1l7f |  -12.66 kcal/mol |   ad   |       2500000  |   -12.64  @   0.59 |  0.57  @    -12.63 |     3.46 s |     1.01 s
  1lpz |  -15.24 kcal/mol |   ad   |       2500000  |   -15.23  @   0.48 |  0.48  @    -15.23 |     5.00 s |     1.16 s
  1lrh |   -7.53 kcal/mol |   ad   |       2500000  |    -7.37  @   1.79 |  1.78  @     -7.36 |     0.98 s |     0.74 s
