#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   sw   |       2500000  |    -5.70  @   1.84 |  1.84  @     -5.70 |     0.71 s |     0.66 s
  1gkc |  -12.18 kcal/mol |   sw   |       2500000  |!  -11.83  @   2.26 |  1.43  @    -11.46 |     1.55 s |     0.96 s
  1hnn |   -9.31 kcal/mol |   sw   |       2500000  |    -9.30  @   1.30 |  1.29  @     -9.29 |     1.13 s |     1.49 s
  1hwi |  -14.68 kcal/mol |   sw   |       2500000  |   -14.65  @   0.92 |  0.75  @    -14.56 |     2.15 s |     1.43 s
  1ig3 |   -9.63 kcal/mol |   sw   |       2500000  |    -9.61  @   1.44 |  0.93  @     -9.61 |     1.39 s |     1.66 s
  1jje |  -13.01 kcal/mol |   sw   |       2500000  |   -12.98  @   2.02 |  1.11  @    -12.26 |     1.57 s |     0.96 s
  1jla |  -14.92 kcal/mol |   sw   |       2500000  |   -14.91  @   0.66 |  0.62  @    -14.59 |     1.71 s |     1.21 s
  1jyq |  -31.11 kcal/mol |   sw   |       2500000  |!  -25.43  @   4.19 |  3.13  @    -25.38 |     6.60 s |     1.43 s
  1k3u |  -15.07 kcal/mol |   sw   |       2500000  |!  -13.68  @   0.84 |  0.84  @    -13.68 |     1.50 s |     1.25 s
  1kzk |  -20.41 kcal/mol |   sw   |       2500000  |   -20.39  @   0.80 |  0.78  @    -20.37 |     3.65 s |     1.55 s
  1l7f |  -12.66 kcal/mol |   sw   |       2500000  |   -12.65  @   0.60 |  0.49  @    -12.62 |     1.86 s |     1.07 s
  1lpz |  -15.24 kcal/mol |   sw   |       2500000  |   -15.10  @   0.41 |  0.41  @    -15.10 |     2.42 s |     1.25 s
