#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
# Name | reference energy | method |  evaluations   | best energy @ rmsd | best rmsd @ energy |  runtime   | idle time
#------+------------------+--------+----------------+--------------------+--------------------+------------+------------
  1ac8 |   -5.70 kcal/mol |   sw   |       2500000  |    -5.70  @   1.85 |  1.83  @     -5.69 |     2.31 s |     0.00 s
  1gkc |  -12.18 kcal/mol |   sw   |       2500000  |!  -11.60  @   2.35 |  1.10  @    -10.21 |     5.46 s |     0.00 s
  1hnn |   -9.31 kcal/mol |   sw   |       2500000  |    -9.28  @   1.32 |  0.93  @     -9.14 |     4.61 s |     0.00 s
  1hwi |  -14.68 kcal/mol |   sw   |       2500000  |!  -13.76  @   0.75 |  0.75  @    -13.76 |     7.36 s |     0.00 s
  1ig3 |   -9.63 kcal/mol |   sw   |       2500000  |    -9.52  @   1.49 |  0.82  @     -8.90 |     5.45 s |     0.00 s
  1jje |  -13.01 kcal/mol |   sw   |       2500000  |   -12.79  @   1.95 |  0.41  @    -12.79 |     5.55 s |     0.00 s
  1jla |  -14.92 kcal/mol |   sw   |       2500000  |   -14.84  @   0.62 |  0.51  @    -14.38 |     6.12 s |     0.00 s
  1jyq |  -31.11 kcal/mol |   sw   |       2500000  |!  -20.51  @   4.14 |  3.28  @    -17.42 |    14.58 s |     0.00 s
  1k3u |  -15.07 kcal/mol |   sw   |       2500000  |   -14.78  @   0.28 |  0.28  @    -14.78 |     5.30 s |     0.00 s
  1kzk |  -20.41 kcal/mol |   sw   |       2500000  |!  -19.01  @   1.07 |  0.87  @    -17.70 |     9.87 s |     0.00 s
  1l7f |  -12.66 kcal/mol |   sw   |       2500000  |   -12.53  @   0.61 |  0.39  @    -12.40 |     6.66 s |     0.00 s
  1lpz |  -15.24 kcal/mol |   sw   |       2500000  |   -14.97  @   0.40 |  0.40  @    -10.57 |     7.75 s |     0.00 s
  1lrh |   -7.53 kcal/mol |   sw   |       2500000  |>   -7.56  @  14.66 |  1.07  @     -6.98 |     3.60 s |     0.00 s
